timestamp,test-class,test-method,time,description,result
2021-08-30 13:37:06.74,acme.testing.manager.workplan.ManagerWorkplanCreateTest,createPositive,8299,"[1] recordIndex=0, title=Workplan Test, iniMoment=2021/09/30 10:30, endMoment=2021/10/30 12:30, exePeriod=722.00, workload=0.00, visibility=True, published=False",OK
2021-08-30 13:37:11.931,acme.testing.manager.workplan.ManagerWorkplanCreateTest,createNegative,4976,"[1] recordIndex=0, title=null, iniMoment=null, endMoment=null",OK
2021-08-30 13:37:17.144,acme.testing.manager.workplan.ManagerWorkplanCreateTest,createNegative,4996,"[2] recordIndex=0, title=Workplan sex, iniMoment=2021/07/17 10:30, endMoment=2021/08/17 10:30",OK
2021-08-30 13:37:24.262,acme.testing.manager.workplan.ManagerWorkplanCreateTest,createNegative,6527,"[3] recordIndex=0, title=null, iniMoment=2021/07/17 10:30, endMoment=2021/08/17 10:30",OK
2021-08-30 13:37:29.91,acme.testing.manager.workplan.ManagerWorkplanCreateTest,createNegative,5146,"[4] recordIndex=0, title=Workplan Test, iniMoment=2018/07/17 10:30, endMoment=2021/08/17 10:30",OK
2021-08-30 13:37:35.178,acme.testing.manager.workplan.ManagerWorkplanCreateTest,createNegative,5042,"[5] recordIndex=0, title=Workplan Test, iniMoment=2021/07/17 10:30, endMoment=2019/08/17 10:30",OK
2021-08-30 13:37:40.489,acme.testing.manager.workplan.ManagerWorkplanCreateTest,createNegative,5074,"[6] recordIndex=0, title=Workplan Test, iniMoment=null, endMoment=2021/08/17 10:30",OK
2021-08-30 13:37:45.704,acme.testing.manager.workplan.ManagerWorkplanCreateTest,createNegative,5010,"[7] recordIndex=0, title=Workplan Test, iniMoment=2021/07/17 10:30, endMoment=null",OK
2021-08-30 13:37:51.014,acme.testing.manager.workplan.ManagerWorkplanCreateTest,createNegative,5027,"[8] recordIndex=0, title=Workplan sex, iniMoment=2021/07/17 10:30, endMoment=2021/06/17 10:30",OK
