timestamp,test-class,test-method,time,description,result
2021-12-13 11:48:15.397,acme.testing.officer.duty.OfficerDutyCreateTest,createPositive,6106,"[1] recordIndex=1, title=Duty testing, iniMoment=2021/11/30 10:30, endMoment=2021/12/30 12:30, exePeriod=722.00, workload=25.30, description=Probando testing de las duties, visibility=PUBLIC, link=null",Record index 1 is out of range
2021-12-13 11:48:21.584,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,5862,"[1] recordIndex=0, title=null, iniMoment=null, endMoment=null, exePeriod=null, workload=null, description=null, link=null, visibility=PUBLIC",OK
2021-12-13 11:48:56.938,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,35060,"[2] recordIndex=1, title=Duty1, iniMoment=2022/01/17 10:30, endMoment=2022/03/15 12:30, exePeriod=1,058.00, workload=25.30, description=testing de las duty, link=null, visibility=PUBLIC",Cannot find 'By.className: text-danger'
2021-12-13 11:49:05.042,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,7473,"[3] recordIndex=2, title=Duty1, iniMoment=2022/02/17 10:30, endMoment=2022/01/30 12:30, exePeriod=1,058.00, workload=25.30, description=testing de las duty, link=null, visibility=PUBLIC",OK
2021-12-13 11:49:13.29,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,7675,"[4] recordIndex=3, title=Duty1, iniMoment=2021/06/17 10:30, endMoment=2021/04/30 12:30, exePeriod=1,058.00, workload=25.30, description=testing de las duty, link=null, visibility=PUBLIC",OK
2021-12-13 11:49:21.589,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,7698,"[5] recordIndex=4, title=Duty sexo, iniMoment=2022/01/17 10:30, endMoment=2021/03/30 12:30, exePeriod=1,058.00, workload=25.30, description=This is a description sexo, link=null, visibility=PUBLIC",OK
2021-12-13 11:49:30.439,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,8275,"[6] recordIndex=5, title=Duty1, iniMoment=2022/01/17 10:30, endMoment=2022/03/30 12:30, exePeriod=1,058.00, workload=-10, description=This is a description, link=null, visibility=PUBLIC",OK
2021-12-13 11:49:38.028,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,7025,"[7] recordIndex=6, title=Duty1, iniMoment=2022/01/17 10:30, endMoment=2022/03/30 12:30, exePeriod=1,058.00, workload=10, description=This is a description, link=URL incorrecta, visibility=PUBLIC",OK
2021-12-13 11:49:46.226,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,7651,"[8] recordIndex=7, title=Duty1, iniMoment=2022/01/17 10:30, endMoment=2022/03/30 12:30, exePeriod=1,058.00, workload=1000, description=This is a description, link=null, visibility=PUBLIC",OK
2021-12-13 11:49:54.092,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,7272,"[9] recordIndex=8, title=Duty1, iniMoment=2022/01/17 10:30, endMoment=2022/03/30 12:30, exePeriod=1,058.00, workload=80.80, description=This is a description, link=null, visibility=PUBLIC",OK
