timestamp,test-class,test-method,time,description,result
2021-12-13 11:53:50.271,acme.testing.officer.duty.OfficerDutyCreateTest,createPositive,6026,"[1] recordIndex=2, title=Duty testing, iniMoment=2022/01/30 10:30, endMoment=2022/04/30 12:30, exePeriod=722.00, workload=25.30, description=Probando testing de las duties, visibility=PUBLIC, link=null",Record index 2 is out of range
2021-12-13 11:53:56.44,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,5871,"[1] recordIndex=0, title=null, iniMoment=null, endMoment=null, exePeriod=null, workload=null, description=null, link=null, visibility=PUBLIC",OK
2021-12-13 11:54:02.847,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,6127,"[2] recordIndex=1, title=Duty1, iniMoment=2021/10/17 10:30, endMoment=2022/03/15 12:30, exePeriod=1,058.00, workload=25.30, description=testing de las duty, link=null, visibility=PUBLIC",OK
2021-12-13 11:54:10.97,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,7545,"[3] recordIndex=2, title=Duty1, iniMoment=2022/02/17 10:30, endMoment=2022/01/30 12:30, exePeriod=1,058.00, workload=25.30, description=testing de las duty, link=null, visibility=PUBLIC",OK
