timestamp,test-class,test-method,time,description,result
2021-08-30 13:32:54.256,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,6571,"[1] recordIndex=1, title=Task testing, iniMoment=2021/09/30 10:30, endMoment=2021/10/30 12:30, exePeriod=1,058.00, workload=25.30, description=Probando testing de las task, visibility=PUBLIC, link=null",Expected value '1,058.00' in attribute 3 of record 1, but found '722.00'
2021-08-30 13:33:00.082,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5617,"[1] recordIndex=0, title=null, iniMoment=null, endMoment=null, exePeriod=null, workload=null, description=null, link=null, visibility=PUBLIC",OK
2021-08-30 13:33:05.993,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5687,"[2] recordIndex=1, title=Task1, iniMoment=2021/04/17 10:30, endMoment=2021/08/30 12:30, exePeriod=1,058.00, workload=25.30, description=testing de las task, link=null, visibility=PUBLIC",OK
2021-08-30 13:33:11.869,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5669,"[3] recordIndex=2, title=Task1, iniMoment=2021/06/17 10:30, endMoment=2021/05/30 12:30, exePeriod=1,058.00, workload=25.30, description=testing de las task, link=null, visibility=PUBLIC",OK
2021-08-30 13:33:17.68,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5607,"[4] recordIndex=3, title=Task1, iniMoment=2021/06/17 10:30, endMoment=2021/04/30 12:30, exePeriod=1,058.00, workload=25.30, description=testing de las task, link=null, visibility=PUBLIC",OK
2021-08-30 13:33:23.566,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5651,"[5] recordIndex=4, title=Task sexo, iniMoment=2021/06/17 10:30, endMoment=2021/07/30 12:30, exePeriod=1,058.00, workload=25.30, description=This is a description sexo, link=null, visibility=PUBLIC",OK
2021-08-30 13:33:29.522,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5750,"[6] recordIndex=5, title=Task1, iniMoment=2021/06/17 10:30, endMoment=2021/07/30 12:30, exePeriod=1,058.00, workload=-10, description=This is a description, link=null, visibility=PUBLIC",OK
2021-08-30 13:33:35.441,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5698,"[7] recordIndex=6, title=Task1, iniMoment=2021/06/17 10:30, endMoment=2021/07/30 12:30, exePeriod=1,058.00, workload=10, description=This is a description, link=URL incorrecta, visibility=PUBLIC",OK
