timestamp,test-class,test-method,time,description,result
2021-08-30 13:33:58.802,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,9413,"[1] recordIndex=1, title=Task testing, iniMoment=2021/09/30 10:30, endMoment=2021/10/30 12:30, exePeriod=722.00, workload=25.30, description=Probando testing de las task, visibility=PUBLIC, link=null",OK
2021-08-30 13:34:04.626,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5590,"[1] recordIndex=0, title=null, iniMoment=null, endMoment=null, exePeriod=null, workload=null, description=null, link=null, visibility=PUBLIC",OK
2021-08-30 13:34:10.568,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5732,"[2] recordIndex=1, title=Task1, iniMoment=2021/04/17 10:30, endMoment=2021/08/30 12:30, exePeriod=1,058.00, workload=25.30, description=testing de las task, link=null, visibility=PUBLIC",OK
2021-08-30 13:34:16.528,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5743,"[3] recordIndex=2, title=Task1, iniMoment=2021/06/17 10:30, endMoment=2021/05/30 12:30, exePeriod=1,058.00, workload=25.30, description=testing de las task, link=null, visibility=PUBLIC",OK
2021-08-30 13:34:22.38,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5614,"[4] recordIndex=3, title=Task1, iniMoment=2021/06/17 10:30, endMoment=2021/04/30 12:30, exePeriod=1,058.00, workload=25.30, description=testing de las task, link=null, visibility=PUBLIC",OK
2021-08-30 13:34:28.285,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5687,"[5] recordIndex=4, title=Task sexo, iniMoment=2021/06/17 10:30, endMoment=2021/07/30 12:30, exePeriod=1,058.00, workload=25.30, description=This is a description sexo, link=null, visibility=PUBLIC",OK
2021-08-30 13:34:34.177,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5656,"[6] recordIndex=5, title=Task1, iniMoment=2021/06/17 10:30, endMoment=2021/07/30 12:30, exePeriod=1,058.00, workload=-10, description=This is a description, link=null, visibility=PUBLIC",OK
2021-08-30 13:34:40.179,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5719,"[7] recordIndex=6, title=Task1, iniMoment=2021/06/17 10:30, endMoment=2021/07/30 12:30, exePeriod=1,058.00, workload=10, description=This is a description, link=URL incorrecta, visibility=PUBLIC",OK
